序列号,店铺名称,店铺所在城市,区域,地址,电话,商户头像,店铺URL,人均消费_元,菜系,口味,环境,服务,点评数量_条,商户评分
1,私蜀老灶火锅(黄寺店),北京,德外大街,黄寺大街15号佰隆大厦2层,,,http://www.dianping.com/shop/67056533,103,火锅,8.9,9.0,8.6,798,准五星商户
2,潮汕古巷牛肉火锅(木樨园店),北京,洋桥/木樨园,永外路果园7号楼合生广场4层,,,http://www.dianping.com/shop/92020785,103,火锅,9.0,9.0,9.1,262,五星商户
3,贡格尔蒙餐(田村店),北京,田村,田村路永定路乐府商务大厦二楼,,,http://www.dianping.com/shop/90003115,95,其他美食,8.2,8.3,8.6,141,四星商户
4,每实蛋糕(国贸店),北京,国贸,www.mescake.com 微信订购号：mes-way,,,http://www.dianping.com/shop/13789324,188,面包甜点,8.2,8.3,8.4,286,四星商户
5,麦当劳官网,北京,,www.mcdonalds.com.cn,,,http://www.dianping.com/shop/5655615,28,小吃快餐,6.5,6.5,6.5,10,三星商户
6,四叶寿司(三里屯店),北京,三里屯,三里屯北小街2号,,,http://www.dianping.com/shop/5255451,877,日本菜,9.2,9.2,9.1,2071,五星商户
7,四季民福烤鸭店(故宫店),北京,王府井/东单,南池子大街11号故宫东门旁,,,http://www.dianping.com/shop/32333630,151,北京菜,9.2,9.3,9.3,10107,五星商户
8,重八牛府(花乡奥莱店),北京,花乡,南四环西路76号7号楼304,,,http://www.dianping.com/shop/74597797,97,火锅,9.4,9.3,9.4,1258,五星商户
9,tomacado花厨(三里屯店),北京,三里屯,东三环北路27号嘉铭中心B1,,,http://www.dianping.com/shop/23631327,184,西餐,8.6,9.3,9.0,9022,五星商户
10,京兆尹,北京,雍和宫/地坛,五道营胡同2号,,,http://www.dianping.com/shop/5618484,609,素菜,9.1,9.4,9.2,6652,五星商户
11,望京小腰总店(三元桥总店),北京,亮马桥/三元桥,三元桥霄云路15号15-11,,,http://www.dianping.com/shop/23607911,101,烧烤,8.9,8.4,8.8,974,准五星商户
12,tomacado花厨(王府中環店),北京,王府井/东单,王府井大街269号王府中环东座4层402号商铺,,,http://www.dianping.com/shop/97329886,199,西餐,8.7,9.3,9.0,1297,五星商户
13,叶叶菩提(大望路店),北京,大望路,光华路2号楼阳光100F座底商,,,http://www.dianping.com/shop/68193557,441,素菜,9.4,9.4,9.4,1151,五星商户
14,重八牛府(小刀牛试店),北京,魏公村,中关村南大街2号华宇时尚购物中心夹层,,,http://www.dianping.com/shop/37770315,99,火锅,9.2,9.1,9.3,6241,五星商户
15,伊豆野菜村(金地中心店),北京,大望路,建国路91号金地中心C座3层-L310,,,http://www.dianping.com/shop/27311183,146,日本菜,9.1,9.1,9.0,6944,五星商户
16,小七君私房菜,北京,三里屯,工体西路6号糖果地下一层,,,http://www.dianping.com/shop/96129431,109,私房菜,9.4,9.2,9.3,150,五星商户
17,四季民福烤鸭店(王府井店),北京,王府井/东单,东安门大街53号万程华府酒店1楼,,,http://www.dianping.com/shop/76843079,140,北京菜,9.2,9.2,9.2,1557,五星商户
18,重庆十八梯老火锅(总店),北京,知春路,罗庄东路10号,,,http://www.dianping.com/shop/22591055,110,火锅,8.6,8.2,8.2,1639,准五星商户
19,伊豆野菜村(金融街购物中心店),北京,复兴门,金城坊街2号金融街购物中心1期4层,,,http://www.dianping.com/shop/67922962,143,日本菜,9.1,9.1,8.9,4169,五星商户
20,四季民福烤鸭店(南礼士路店),北京,阜成门,南礼士路44号,,,http://www.dianping.com/shop/76842636,140,北京菜,9.2,9.1,9.1,2450,五星商户
21,品质伊骊(远大路店),北京,远大路,远大西路世纪城大门内东南侧冰城串吧南唇辣号楼下南侧,,,http://www.dianping.com/shop/93611902,81,新疆菜,9.2,9.1,9.2,234,五星商户
22,四季民福烤鸭店(工体店),北京,三里屯,工体东路工人体育场东门进辅路向南100米小东门内,,,http://www.dianping.com/shop/96677684,152,北京菜,9.1,9.3,9.2,997,五星商户
23,玉林串串香(东直门簋街店),北京,东直门,东直门内大街5-9号,,,http://www.dianping.com/shop/9967939,110,火锅,8.4,7.5,7.9,4361,四星商户
24,叶叶菩提·道(西单店),北京,宣武门,宣武门内大街临1号,,,http://www.dianping.com/shop/93227192,461,素菜,9.3,9.4,9.3,445,五星商户
25,温野菜日式火锅,北京,东直门,新中街甲3号蜂巢剧场B1层,,,http://www.dianping.com/shop/20842827,147,日本菜,9.0,9.1,9.0,13653,五星商户
26,神泉居酒屋(工体店),北京,三里屯,工体西路6号工体食尚东门,,,http://www.dianping.com/shop/96006242,187,日本菜,9.1,9.1,9.1,112,五星商户
27,第六季自助餐厅(甜水园店),北京,甜水园,甜水园北里16号楼甜水园图书市场一层南侧,,,http://www.dianping.com/shop/95137467,250,自助餐,9.1,9.1,9.3,2123,五星商户
28,四叶寿司(将台西路店),北京,酒仙桥,将台西路9-3号,,,http://www.dianping.com/shop/13871868,981,日本菜,9.2,9.2,9.2,1008,五星商户
29,成全轻食,北京,三里屯,三里屯soho5号商场B1层B1-525号,,,http://www.dianping.com/shop/95358663,87,西餐,9.2,9.2,9.3,546,五星商户
30,四季民福烤鸭店(前门大栅栏店),北京,前门,前门大栅栏商业街18号,,,http://www.dianping.com/shop/67854895,128,北京菜,9.2,9.2,9.2,3786,五星商户
31,北京宴(总店),北京,六里桥/丽泽桥,靛厂路3号,,,http://www.dianping.com/shop/5667533,437,北京菜,9.2,9.4,9.3,2150,五星商户
32,南门涮肉(东河沿店),北京,安定门,安定门东滨河路东河沿乙9号楼宏源餐饮底商,,,http://www.dianping.com/shop/2001757,93,火锅,9.2,8.4,8.8,3197,五星商户
33,炙鼎炭火烤肉(鼓楼店),北京,南锣鼓巷/鼓楼东大街,鼓楼东大街206号北京国际创意设计C座2层,,,http://www.dianping.com/shop/65936823,115,烧烤,8.7,8.9,8.4,2568,准五星商户
